A–H,B·,A·,B–H,TS,ML Barrier (kcal/mol),DFT Barrier (kcal/mol),Difference (kcal/mol)
PRE-J1f,PRE-O4,POST-J1f-H1,POST-O4,,13.17,13.60,-0.43
PRE-J1h,PRE-O4,POST-J1h-H1,POST-O4,,13.16,13.50,-0.34
PRE-J1i,PRE-O4,POST-J1i-H1,POST-O4,,13.40,13.80,-0.40
PRE-J1j,PRE-O4,POST-J1j-H1,POST-O4,,13.78,13.90,-0.12
PRE-J1k,PRE-O4,POST-J1k-H1,POST-O4,,14.05,14.90,-0.85
PRE-J1l,PRE-O4,POST-J1l-H1,POST-O4,,13.64,14.00,-0.36
PRE-J1m,PRE-O4,POST-J1m-H1,POST-O4,,13.43,13.70,-0.27
PRE-J1n,PRE-O4,POST-J1n-H1,POST-O4,,13.16,13.70,-0.54
PRE-SI1,PRE-O4,POST-SI1-H1,POST-O4,,12.01,12.30,-0.29
PRE-SI2,PRE-O4,POST-SI2-H1,POST-O4,,12.27,12.40,-0.13
PRE-SI3,PRE-O4,POST-SI3-H1,POST-O4,,12.53,12.80,-0.27
PRE-A1a,PRE-O5,POST-A1a-H1,POST-O5,,12.84,12.80,0.04
PRE-A1b,PRE-O5,POST-A1b-H1,POST-O5,,16.27,17.60,-1.33
PRE-A1c,PRE-O5,POST-A1c-H1,POST-O5,,6.80,6.50,0.30
PRE-A1d,PRE-O5,POST-A1d-H1,POST-O5,,19.00,20.40,-1.40
PRE-A1e,PRE-O5,POST-A1e-H1,POST-O5,,10.59,10.70,-0.11
PRE-A1f,PRE-O5,POST-A1f-H1,POST-O5,,10.01,10.80,-0.79
PRE-A1h,PRE-O5,POST-A1h-H1,POST-O5,,8.20,8.20,-0.00
PRE-A1i,PRE-O5,POST-A1i-H1,POST-O5,,15.18,14.90,0.28
PRE-A1j,PRE-O5,POST-A1j-H1,POST-O5,,14.77,15.80,-1.03
PRE-A1k,PRE-O5,POST-A1k-H1,POST-O5,,18.20,19.30,-1.10
PRE-A1l,PRE-O5,POST-A1l-H1,POST-O5,,15.32,16.80,-1.48
PRE-A1m,PRE-O5,POST-A1m-H1,POST-O5,,14.55,14.70,-0.15
PRE-B1a,PRE-O5,POST-B1a-H1,POST-O5,,11.05,11.00,0.05
PRE-B1a,PRE-O5,POST-B1a-H3,POST-O5,,13.74,14.00,-0.26
PRE-B1b,PRE-O5,POST-B1b-H1,POST-O5,,14.55,16.30,-1.75
PRE-B1b,PRE-O5,POST-B1b-H2,POST-O5,,13.38,13.40,-0.02
PRE-B1b,PRE-O5,POST-B1b-H3,POST-O5,,14.57,15.00,-0.43
PRE-B1c,PRE-O5,POST-B1c-H1,POST-O5,,6.18,6.00,0.18
PRE-B1c,PRE-O5,POST-B1c-H2,POST-O5,,11.10,10.60,0.50
PRE-B1c,PRE-O5,POST-B1c-H3,POST-O5,,13.84,14.30,-0.46
PRE-B1d,PRE-O5,POST-B1d-H1,POST-O5,,16.92,18.90,-1.98
PRE-B1d,PRE-O5,POST-B1d-H2,POST-O5,,13.92,13.60,0.32
PRE-B1d,PRE-O5,POST-B1d-H3,POST-O5,,15.10,15.30,-0.20
PRE-B1e,PRE-O5,POST-B1e-H1,POST-O5,,9.19,9.10,0.09
PRE-B1e,PRE-O5,POST-B1e-H2,POST-O5,,11.87,12.30,-0.43
PRE-B1e,PRE-O5,POST-B1e-H3,POST-O5,,13.94,14.40,-0.46
PRE-B1f,PRE-O5,POST-B1f-H1,POST-O5,,8.63,9.20,-0.57
PRE-B1f,PRE-O5,POST-B1f-H2,POST-O5,,12.05,12.60,-0.55
PRE-B1f,PRE-O5,POST-B1f-H3,POST-O5,,13.98,14.30,-0.32
PRE-B1g,PRE-O5,POST-B1g-H1,POST-O5,,10.63,11.10,-0.47
PRE-B1g,PRE-O5,POST-B1g-H2,POST-O5,,13.01,14.70,-1.69
PRE-B1g,PRE-O5,POST-B1g-H3,POST-O5,,14.27,14.70,-0.43
PRE-B1h,PRE-O5,POST-B1h-H1,POST-O5,,7.42,6.70,0.72
PRE-B1h,PRE-O5,POST-B1h-H2,POST-O5,,10.96,11.50,-0.54
PRE-B1h,PRE-O5,POST-B1h-H3,POST-O5,,12.01,11.30,0.71
PRE-B1j,PRE-O5,POST-B1j-H1,POST-O5,,14.02,14.90,-0.88
PRE-B1j,PRE-O5,POST-B1j-H2,POST-O5,,13.05,13.40,-0.35
PRE-B1j,PRE-O5,POST-B1j-H3,POST-O5,,14.48,14.40,0.08
PRE-B1k,PRE-O5,POST-B1k-H1,POST-O5,,16.47,17.60,-1.13
PRE-B1k,PRE-O5,POST-B1k-H2,POST-O5,,13.21,12.70,0.51
PRE-B1k,PRE-O5,POST-B1k-H3,POST-O5,,14.38,14.50,-0.12
PRE-B1l,PRE-O5,POST-B1l-H1,POST-O5,,12.94,13.60,-0.66
PRE-B1l,PRE-O5,POST-B1l-H2,POST-O5,,12.46,13.80,-1.34
PRE-B1l,PRE-O5,POST-B1l-H3,POST-O5,,14.63,15.30,-0.67
PRE-B1m,PRE-O5,POST-B1m-H1,POST-O5,,11.84,11.30,0.54
PRE-B1m,PRE-O5,POST-B1m-H2,POST-O5,,11.33,12.10,-0.77
PRE-B1m,PRE-O5,POST-B1m-H3,POST-O5,,14.12,14.20,-0.08
PRE-B1n,PRE-O5,POST-B1n-H2,POST-O5,,10.84,11.80,-0.96
PRE-B1n,PRE-O5,POST-B1n-H3,POST-O5,,13.75,14.70,-0.95
PRE-B2a,PRE-O5,POST-B2a-H1,POST-O5,,9.64,9.50,0.14
PRE-B2a,PRE-O5,POST-B2a-H2,POST-O5,,14.39,14.40,-0.01
PRE-B2b,PRE-O5,POST-B2b-H1,POST-O5,,12.38,13.50,-1.12
PRE-B2b,PRE-O5,POST-B2b-H2,POST-O5,,15.42,15.40,0.02
PRE-B2c,PRE-O5,POST-B2c-H1,POST-O5,,5.19,5.20,-0.01
PRE-B2c,PRE-O5,POST-B2c-H2,POST-O5,,14.43,15.50,-1.07
PRE-B2d,PRE-O5,POST-B2d-H1,POST-O5,,14.69,15.50,-0.81
PRE-B2d,PRE-O5,POST-B2d-H2,POST-O5,,15.66,15.50,0.16
PRE-B2e,PRE-O5,POST-B2e-H1,POST-O5,,8.33,8.30,0.03
PRE-B2e,PRE-O5,POST-B2e-H2,POST-O5,,13.90,14.90,-1.00
PRE-B2f,PRE-O5,POST-B2f-H1,POST-O5,,8.24,8.10,0.14
PRE-B2f,PRE-O5,POST-B2f-H2,POST-O5,,14.64,16.00,-1.36
PRE-B2g,PRE-O5,POST-B2g-H2,POST-O5,,14.94,16.00,-1.06
PRE-B2h,PRE-O5,POST-B2h-H1,POST-O5,,6.70,6.30,0.40
PRE-B2h,PRE-O5,POST-B2h-H2,POST-O5,,12.74,13.60,-0.86
PRE-B2j,PRE-O5,POST-B2j-H1,POST-O5,,11.87,12.60,-0.73
PRE-B2j,PRE-O5,POST-B2j-H2,POST-O5,,15.45,17.10,-1.65
PRE-B2k,PRE-O5,POST-B2k-H1,POST-O5,,13.37,14.40,-1.03
PRE-B2k,PRE-O5,POST-B2k-H2,POST-O5,,15.60,16.50,-0.90
PRE-B2l,PRE-O5,POST-B2l-H1,POST-O5,,10.87,11.20,-0.33
PRE-B2l,PRE-O5,POST-B2l-H2,POST-O5,,14.26,15.10,-0.84
PRE-B2m,PRE-O5,POST-B2m-H1,POST-O5,,9.98,10.20,-0.22
PRE-B2m,PRE-O5,POST-B2m-H2,POST-O5,,14.05,14.00,0.05
PRE-B2n,PRE-O5,POST-B2n-H1,POST-O5,,4.94,5.10,-0.16
PRE-B2n,PRE-O5,POST-B2n-H2,POST-O5,,13.58,13.80,-0.22
PRE-C1a,PRE-O5,POST-C1a-H1,POST-O5,,10.37,10.30,0.07
PRE-C1b,PRE-O5,POST-C1b-H1,POST-O5,,13.16,13.70,-0.54
PRE-C1c,PRE-O5,POST-C1c-H1,POST-O5,,7.39,8.30,-0.91
PRE-C1d,PRE-O5,POST-C1d-H1,POST-O5,,15.82,16.40,-0.58
PRE-C1e,PRE-O5,POST-C1e-H1,POST-O5,,9.23,9.90,-0.67
PRE-C1f,PRE-O5,POST-C1f-H1,POST-O5,,8.50,9.00,-0.50
PRE-C1g,PRE-O5,POST-C1g-H1,POST-O5,,10.18,11.20,-1.02
PRE-C1h,PRE-O5,POST-C1h-H1,POST-O5,,8.10,7.50,0.60
PRE-C1i,PRE-O5,POST-C1i-H1,POST-O5,,11.79,12.40,-0.61
PRE-C1j,PRE-O5,POST-C1j-H1,POST-O5,,12.94,13.80,-0.86
PRE-C1k,PRE-O5,POST-C1k-H1,POST-O5,,14.13,14.70,-0.57
PRE-C1l,PRE-O5,POST-C1l-H1,POST-O5,,11.90,12.10,-0.20
PRE-C1m,PRE-O5,POST-C1m-H1,POST-O5,,10.32,10.00,0.32
PRE-D1a,PRE-O5,POST-D1a-H1,POST-O5,,9.06,9.60,-0.54
PRE-D1b,PRE-O5,POST-D1b-H1,POST-O5,,11.72,11.90,-0.18
PRE-D1c,PRE-O5,POST-D1c-H1,POST-O5,,6.46,7.10,-0.64
PRE-D1d,PRE-O5,POST-D1d-H1,POST-O5,,14.49,15.80,-1.31
PRE-D1e,PRE-O5,POST-D1e-H1,POST-O5,,9.00,8.30,0.70
PRE-D1f,PRE-O5,POST-D1f-H1,POST-O5,,7.90,7.70,0.20
PRE-D1h,PRE-O5,POST-D1h-H1,POST-O5,,8.09,7.60,0.49
PRE-D1j,PRE-O5,POST-D1j-H1,POST-O5,,11.32,12.10,-0.78
PRE-D1k,PRE-O5,POST-D1k-H1,POST-O5,,13.19,13.20,-0.01
PRE-D1l,PRE-O5,POST-D1l-H1,POST-O5,,11.93,14.40,-2.47
PRE-D1m,PRE-O5,POST-D1m-H1,POST-O5,,10.68,12.00,-1.32
PRE-D1n,PRE-O5,POST-D1n-H1,POST-O5,,5.71,5.20,0.51
PRE-E1a,PRE-O5,POST-E1a-H1,POST-O5,,11.67,12.10,-0.43
PRE-E1b,PRE-O5,POST-E1b-H1,POST-O5,,14.31,15.00,-0.69
PRE-E1c,PRE-O5,POST-E1c-H1,POST-O5,,8.89,9.30,-0.41
PRE-E1d,PRE-O5,POST-E1d-H1,POST-O5,,15.51,17.60,-2.09
PRE-E1e,PRE-O5,POST-E1e-H1,POST-O5,,10.41,11.10,-0.69
PRE-E1f,PRE-O5,POST-E1f-H1,POST-O5,,10.22,11.30,-1.08
PRE-E1g,PRE-O5,POST-E1g-H1,POST-O5,,9.81,11.90,-2.09
PRE-E1h,PRE-O5,POST-E1h-H1,POST-O5,,9.30,8.30,1.00
PRE-E1i,PRE-O5,POST-E1i-H1,POST-O5,,12.34,13.10,-0.76
PRE-E1j,PRE-O5,POST-E1j-H1,POST-O5,,13.25,14.20,-0.95
PRE-E1k,PRE-O5,POST-E1k-H1,POST-O5,,15.01,15.60,-0.59
PRE-E1l,PRE-O5,POST-E1l-H1,POST-O5,,13.76,14.20,-0.44
PRE-E1m,PRE-O5,POST-E1m-H1,POST-O5,,12.29,12.50,-0.21
PRE-E1n,PRE-O5,POST-E1n-H1,POST-O5,,7.74,7.90,-0.16
PRE-F1a,PRE-O5,POST-F1a-H1,POST-O5,,9.82,10.00,-0.18
PRE-F1b,PRE-O5,POST-F1b-H1,POST-O5,,12.44,13.30,-0.86
PRE-F1c,PRE-O5,POST-F1c-H1,POST-O5,,6.20,5.90,0.30
PRE-F1d,PRE-O5,POST-F1d-H1,POST-O5,,15.96,16.30,-0.34
PRE-F1e,PRE-O5,POST-F1e-H1,POST-O5,,9.89,9.30,0.59
PRE-F1f,PRE-O5,POST-F1f-H1,POST-O5,,8.65,8.90,-0.25
PRE-F1h,PRE-O5,POST-F1h-H1,POST-O5,,7.83,6.70,1.13
PRE-F1j,PRE-O5,POST-F1j-H1,POST-O5,,12.83,13.90,-1.07
PRE-F1k,PRE-O5,POST-F1k-H1,POST-O5,,14.76,16.10,-1.34
PRE-F1l,PRE-O5,POST-F1l-H1,POST-O5,,13.04,12.60,0.44
PRE-F1m,PRE-O5,POST-F1m-H1,POST-O5,,13.27,13.90,-0.63
PRE-G1a,PRE-O5,POST-G1a-H1,POST-O5,,11.67,11.30,0.37
PRE-G1b,PRE-O5,POST-G1b-H1,POST-O5,,13.94,14.80,-0.86
PRE-G1c,PRE-O5,POST-G1c-H1,POST-O5,,6.86,7.30,-0.44
PRE-G1d,PRE-O5,POST-G1d-H1,POST-O5,,16.77,18.70,-1.93
PRE-G1e,PRE-O5,POST-G1e-H1,POST-O5,,9.97,10.60,-0.63
PRE-G1f,PRE-O5,POST-G1f-H1,POST-O5,,9.14,9.20,-0.06
PRE-G1g,PRE-O5,POST-G1g-H1,POST-O5,,10.07,11.00,-0.93
PRE-G1h,PRE-O5,POST-G1h-H1,POST-O5,,8.32,6.80,1.52
PRE-G1i,PRE-O5,POST-G1i-H1,POST-O5,,12.71,13.70,-0.99
PRE-G1j,PRE-O5,POST-G1j-H1,POST-O5,,13.48,14.60,-1.12
PRE-G1k,PRE-O5,POST-G1k-H1,POST-O5,,16.06,17.10,-1.04
PRE-G1l,PRE-O5,POST-G1l-H1,POST-O5,,14.22,15.60,-1.38
PRE-G1m,PRE-O5,POST-G1m-H1,POST-O5,,13.15,13.70,-0.55
PRE-G1n,PRE-O5,POST-G1n-H1,POST-O5,,6.51,5.40,1.11
PRE-H1a,PRE-O5,POST-H1a-H1,POST-O5,,10.17,10.50,-0.33
PRE-H1b,PRE-O5,POST-H1b-H1,POST-O5,,12.36,12.90,-0.54
PRE-H1c,PRE-O5,POST-H1c-H1,POST-O5,,7.29,7.90,-0.61
PRE-H1d,PRE-O5,POST-H1d-H1,POST-O5,,14.48,14.60,-0.12
PRE-H1e,PRE-O5,POST-H1e-H1,POST-O5,,8.78,8.70,0.08
PRE-H1f,PRE-O5,POST-H1f-H1,POST-O5,,9.14,10.60,-1.46
PRE-H1h,PRE-O5,POST-H1h-H1,POST-O5,,8.61,7.90,0.71
PRE-H1j,PRE-O5,POST-H1j-H1,POST-O5,,12.33,12.60,-0.27
PRE-H1k,PRE-O5,POST-H1k-H1,POST-O5,,13.47,13.60,-0.13
PRE-H1l,PRE-O5,POST-H1l-H1,POST-O5,,11.92,12.30,-0.38
PRE-H1m,PRE-O5,POST-H1m-H1,POST-O5,,10.90,11.00,-0.10
PRE-H1n,PRE-O5,POST-H1n-H1,POST-O5,,7.44,7.30,0.14
PRE-I1a,PRE-O5,POST-I1a-H1,POST-O5,,7.65,7.80,-0.15
PRE-I1b,PRE-O5,POST-I1b-H1,POST-O5,,9.88,10.70,-0.82
PRE-I1c,PRE-O5,POST-I1c-H1,POST-O5,,7.11,6.00,1.11
PRE-I1d,PRE-O5,POST-I1d-H1,POST-O5,,10.35,11.10,-0.75
PRE-I1e,PRE-O5,POST-I1e-H1,POST-O5,,8.78,9.80,-1.02
PRE-I1f,PRE-O5,POST-I1f-H1,POST-O5,,8.23,8.10,0.13
PRE-I1h,PRE-O5,POST-I1h-H1,POST-O5,,6.91,5.10,1.81
PRE-I1j,PRE-O5,POST-I1j-H1,POST-O5,,9.73,10.80,-1.07
PRE-I1k,PRE-O5,POST-I1k-H1,POST-O5,,9.28,9.50,-0.22
PRE-I1l,PRE-O5,POST-I1l-H1,POST-O5,,8.60,10.30,-1.70
PRE-I1m,PRE-O5,POST-I1m-H1,POST-O5,,7.46,7.60,-0.14
PRE-I1n,PRE-O5,POST-I1n-H1,POST-O5,,7.11,6.40,0.71
PRE-J1a,PRE-O5,POST-J1a-H1,POST-O5,,9.46,9.60,-0.14
PRE-J1b,PRE-O5,POST-J1b-H1,POST-O5,,10.10,10.20,-0.10
PRE-J1c,PRE-O5,POST-J1c-H1,POST-O5,,8.79,8.90,-0.11
PRE-J1d,PRE-O5,POST-J1d-H1,POST-O5,,10.29,10.50,-0.21
PRE-J1e,PRE-O5,POST-J1e-H1,POST-O5,,9.54,9.80,-0.26
PRE-J1f,PRE-O5,POST-J1f-H1,POST-O5,,9.22,9.40,-0.18
PRE-J1h,PRE-O5,POST-J1h-H1,POST-O5,,9.25,9.30,-0.05
PRE-J1i,PRE-O5,POST-J1i-H1,POST-O5,,9.57,9.50,0.07
PRE-J1j,PRE-O5,POST-J1j-H1,POST-O5,,9.98,10.40,-0.42
PRE-J1k,PRE-O5,POST-J1k-H1,POST-O5,,10.28,11.20,-0.92
PRE-J1l,PRE-O5,POST-J1l-H1,POST-O5,,9.92,10.10,-0.18
PRE-J1m,PRE-O5,POST-J1m-H1,POST-O5,,9.52,9.70,-0.18
PRE-J1n,PRE-O5,POST-J1n-H1,POST-O5,,9.04,9.60,-0.56
PRE-SI1,PRE-O5,POST-SI1-H1,POST-O5,,7.34,7.90,-0.56
PRE-SI2,PRE-O5,POST-SI2-H1,POST-O5,,7.55,8.40,-0.85
PRE-SI3,PRE-O5,POST-SI3-H1,POST-O5,,7.76,8.20,-0.44
PRE-A1a,PRE-O6,POST-A1a-H1,POST-O6,,11.50,11.80,-0.30
PRE-A1b,PRE-O6,POST-A1b-H1,POST-O6,,15.67,16.40,-0.73
PRE-A1d,PRE-O6,POST-A1d-H1,POST-O6,,17.60,18.70,-1.10
PRE-A1e,PRE-O6,POST-A1e-H1,POST-O6,,10.59,10.40,0.19
PRE-A1f,PRE-O6,POST-A1f-H1,POST-O6,,10.25,10.40,-0.15
PRE-A1h,PRE-O6,POST-A1h-H1,POST-O6,,10.72,12.00,-1.28
PRE-A1i,PRE-O6,POST-A1i-H1,POST-O6,,12.70,11.50,1.20
PRE-A1j,PRE-O6,POST-A1j-H1,POST-O6,,13.11,13.90,-0.79
PRE-A1k,PRE-O6,POST-A1k-H1,POST-O6,,16.81,17.20,-0.39
PRE-A1l,PRE-O6,POST-A1l-H1,POST-O6,,14.54,15.70,-1.16
PRE-A1m,PRE-O6,POST-A1m-H1,POST-O6,,12.70,13.50,-0.80
PRE-B1a,PRE-O6,POST-B1a-H1,POST-O6,,10.69,10.30,0.39
PRE-B1a,PRE-O6,POST-B1a-H3,POST-O6,,12.11,12.70,-0.59
PRE-B1b,PRE-O6,POST-B1b-H1,POST-O6,,14.36,14.80,-0.44
PRE-B1b,PRE-O6,POST-B1b-H2,POST-O6,,12.52,12.50,0.02
PRE-B1b,PRE-O6,POST-B1b-H3,POST-O6,,12.79,12.80,-0.01
PRE-B1c,PRE-O6,POST-B1c-H1,POST-O6,,9.35,10.70,-1.35
PRE-B1c,PRE-O6,POST-B1c-H2,POST-O6,,10.98,11.00,-0.02
PRE-B1c,PRE-O6,POST-B1c-H3,POST-O6,,12.07,12.50,-0.43
PRE-B1d,PRE-O6,POST-B1d-H1,POST-O6,,16.45,16.10,0.35
PRE-B1d,PRE-O6,POST-B1d-H2,POST-O6,,13.89,13.30,0.59
PRE-B1d,PRE-O6,POST-B1d-H3,POST-O6,,13.78,13.20,0.58
PRE-B1e,PRE-O6,POST-B1e-H1,POST-O6,,10.11,10.20,-0.09
PRE-B1e,PRE-O6,POST-B1e-H2,POST-O6,,11.11,12.10,-0.99
PRE-B1e,PRE-O6,POST-B1e-H3,POST-O6,,12.09,13.20,-1.11
PRE-B1f,PRE-O6,POST-B1f-H1,POST-O6,,10.63,10.90,-0.27
PRE-B1f,PRE-O6,POST-B1f-H2,POST-O6,,11.47,12.20,-0.73
PRE-B1f,PRE-O6,POST-B1f-H3,POST-O6,,12.45,13.30,-0.85
PRE-B1g,PRE-O6,POST-B1g-H1,POST-O6,,10.96,11.40,-0.44
PRE-B1g,PRE-O6,POST-B1g-H2,POST-O6,,12.20,13.20,-1.00
PRE-B1g,PRE-O6,POST-B1g-H3,POST-O6,,12.72,13.90,-1.18
PRE-B1h,PRE-O6,POST-B1h-H1,POST-O6,,10.63,10.90,-0.27
PRE-B1h,PRE-O6,POST-B1h-H2,POST-O6,,11.29,10.70,0.59
PRE-B1h,PRE-O6,POST-B1h-H3,POST-O6,,11.84,11.60,0.24
PRE-B1j,PRE-O6,POST-B1j-H1,POST-O6,,12.95,13.50,-0.55
PRE-B1j,PRE-O6,POST-B1j-H2,POST-O6,,13.16,12.70,0.46
PRE-B1j,PRE-O6,POST-B1j-H3,POST-O6,,12.79,13.00,-0.21
PRE-B1k,PRE-O6,POST-B1k-H1,POST-O6,,15.14,14.70,0.44
PRE-B1k,PRE-O6,POST-B1k-H2,POST-O6,,12.40,13.10,-0.70
PRE-B1k,PRE-O6,POST-B1k-H3,POST-O6,,12.56,12.90,-0.34
PRE-B1l,PRE-O6,POST-B1l-H1,POST-O6,,13.71,13.60,0.11
PRE-B1l,PRE-O6,POST-B1l-H2,POST-O6,,11.94,12.80,-0.86
PRE-B1l,PRE-O6,POST-B1l-H3,POST-O6,,12.70,13.00,-0.30
PRE-B1m,PRE-O6,POST-B1m-H1,POST-O6,,11.48,10.90,0.58
PRE-B1m,PRE-O6,POST-B1m-H2,POST-O6,,11.06,12.50,-1.44
PRE-B1m,PRE-O6,POST-B1m-H3,POST-O6,,12.28,13.10,-0.82
PRE-B1n,PRE-O6,POST-B1n-H2,POST-O6,,9.96,9.10,0.86
PRE-B1n,PRE-O6,POST-B1n-H3,POST-O6,,11.12,11.40,-0.28
PRE-B2a,PRE-O6,POST-B2a-H1,POST-O6,,9.84,10.30,-0.46
PRE-B2a,PRE-O6,POST-B2a-H2,POST-O6,,12.36,13.20,-0.84
PRE-B2b,PRE-O6,POST-B2b-H1,POST-O6,,13.44,14.30,-0.86
PRE-B2b,PRE-O6,POST-B2b-H2,POST-O6,,14.20,14.00,0.20
PRE-B2c,PRE-O6,POST-B2c-H2,POST-O6,,12.97,14.00,-1.03
PRE-B2d,PRE-O6,POST-B2d-H1,POST-O6,,15.14,15.10,0.04
PRE-B2d,PRE-O6,POST-B2d-H2,POST-O6,,14.87,14.40,0.47
PRE-B2e,PRE-O6,POST-B2e-H1,POST-O6,,10.24,11.10,-0.86
PRE-B2e,PRE-O6,POST-B2e-H2,POST-O6,,12.29,12.80,-0.51
PRE-B2f,PRE-O6,POST-B2f-H1,POST-O6,,10.15,10.40,-0.25
PRE-B2f,PRE-O6,POST-B2f-H2,POST-O6,,12.95,13.40,-0.45
PRE-B2g,PRE-O6,POST-B2g-H2,POST-O6,,13.19,13.20,-0.01
PRE-B2h,PRE-O6,POST-B2h-H1,POST-O6,,9.83,10.10,-0.27
PRE-B2h,PRE-O6,POST-B2h-H2,POST-O6,,12.56,12.50,0.06
PRE-B2j,PRE-O6,POST-B2j-H1,POST-O6,,11.81,13.30,-1.49
PRE-B2j,PRE-O6,POST-B2j-H2,POST-O6,,13.94,13.80,0.14
PRE-B2k,PRE-O6,POST-B2k-H1,POST-O6,,13.78,14.00,-0.22
PRE-B2k,PRE-O6,POST-B2k-H2,POST-O6,,13.44,13.40,0.04
PRE-B2l,PRE-O6,POST-B2l-H1,POST-O6,,12.25,12.60,-0.35
PRE-B2l,PRE-O6,POST-B2l-H2,POST-O6,,12.71,13.20,-0.49
PRE-B2m,PRE-O6,POST-B2m-H1,POST-O6,,10.46,9.90,0.56
PRE-B2m,PRE-O6,POST-B2m-H2,POST-O6,,12.46,13.40,-0.94
PRE-B2n,PRE-O6,POST-B2n-H2,POST-O6,,10.46,6.30,4.16
PRE-C1a,PRE-O6,POST-C1a-H1,POST-O6,,11.21,11.50,-0.29
PRE-C1b,PRE-O6,POST-C1b-H1,POST-O6,,14.01,14.90,-0.89
PRE-C1d,PRE-O6,POST-C1d-H1,POST-O6,,15.22,16.60,-1.38
PRE-C1f,PRE-O6,POST-C1f-H1,POST-O6,,10.00,10.80,-0.80
PRE-C1g,PRE-O6,POST-C1g-H1,POST-O6,,11.25,11.50,-0.25
PRE-C1h,PRE-O6,POST-C1h-H1,POST-O6,,9.34,9.20,0.14
PRE-C1i,PRE-O6,POST-C1i-H1,POST-O6,,11.85,12.60,-0.75
PRE-C1j,PRE-O6,POST-C1j-H1,POST-O6,,13.47,13.90,-0.43
PRE-C1k,PRE-O6,POST-C1k-H1,POST-O6,,14.79,15.20,-0.41
PRE-C1l,PRE-O6,POST-C1l-H1,POST-O6,,12.88,13.90,-1.02
PRE-C1m,PRE-O6,POST-C1m-H1,POST-O6,,11.62,11.60,0.02
PRE-D1a,PRE-O6,POST-D1a-H1,POST-O6,,10.77,11.50,-0.73
PRE-D1b,PRE-O6,POST-D1b-H1,POST-O6,,12.51,14.10,-1.59
PRE-D1d,PRE-O6,POST-D1d-H1,POST-O6,,14.50,16.00,-1.50
PRE-D1f,PRE-O6,POST-D1f-H1,POST-O6,,8.71,6.70,2.01
PRE-D1h,PRE-O6,POST-D1h-H1,POST-O6,,8.67,9.40,-0.73
PRE-D1j,PRE-O6,POST-D1j-H1,POST-O6,,12.87,13.70,-0.83
PRE-D1k,PRE-O6,POST-D1k-H1,POST-O6,,14.60,16.20,-1.60
PRE-D1l,PRE-O6,POST-D1l-H1,POST-O6,,12.01,14.00,-1.99
PRE-D1m,PRE-O6,POST-D1m-H1,POST-O6,,11.85,11.40,0.45
PRE-E1a,PRE-O6,POST-E1a-H1,POST-O6,,12.12,12.90,-0.78
PRE-E1b,PRE-O6,POST-E1b-H1,POST-O6,,14.74,16.20,-1.46
PRE-E1d,PRE-O6,POST-E1d-H1,POST-O6,,16.21,17.50,-1.29
PRE-E1e,PRE-O6,POST-E1e-H1,POST-O6,,11.36,11.50,-0.14
PRE-E1f,PRE-O6,POST-E1f-H1,POST-O6,,11.15,11.80,-0.65
PRE-E1g,PRE-O6,POST-E1g-H1,POST-O6,,10.81,11.00,-0.19
PRE-E1h,PRE-O6,POST-E1h-H1,POST-O6,,10.88,10.30,0.58
PRE-E1i,PRE-O6,POST-E1i-H1,POST-O6,,12.52,13.40,-0.88
PRE-E1j,PRE-O6,POST-E1j-H1,POST-O6,,14.19,14.80,-0.61
PRE-E1k,PRE-O6,POST-E1k-H1,POST-O6,,15.34,16.40,-1.06
PRE-E1l,PRE-O6,POST-E1l-H1,POST-O6,,14.57,15.70,-1.13
PRE-E1m,PRE-O6,POST-E1m-H1,POST-O6,,12.39,12.70,-0.31
PRE-F1a,PRE-O6,POST-F1a-H1,POST-O6,,11.61,12.70,-1.09
PRE-F1b,PRE-O6,POST-F1b-H1,POST-O6,,14.10,15.50,-1.40
PRE-F1d,PRE-O6,POST-F1d-H1,POST-O6,,16.48,17.40,-0.92
PRE-F1e,PRE-O6,POST-F1e-H1,POST-O6,,11.49,12.50,-1.01
PRE-F1f,PRE-O6,POST-F1f-H1,POST-O6,,10.94,11.90,-0.96
PRE-F1h,PRE-O6,POST-F1h-H1,POST-O6,,10.65,12.00,-1.35
PRE-F1j,PRE-O6,POST-F1j-H1,POST-O6,,14.03,14.90,-0.87
PRE-F1k,PRE-O6,POST-F1k-H1,POST-O6,,15.73,17.00,-1.27
PRE-F1l,PRE-O6,POST-F1l-H1,POST-O6,,14.10,14.80,-0.70
PRE-F1m,PRE-O6,POST-F1m-H1,POST-O6,,13.99,16.40,-2.41
PRE-G1a,PRE-O6,POST-G1a-H1,POST-O6,,11.44,10.40,1.04
PRE-G1b,PRE-O6,POST-G1b-H1,POST-O6,,14.86,16.00,-1.14
PRE-G1d,PRE-O6,POST-G1d-H1,POST-O6,,17.01,18.40,-1.39
PRE-G1e,PRE-O6,POST-G1e-H1,POST-O6,,10.88,10.20,0.68
PRE-G1f,PRE-O6,POST-G1f-H1,POST-O6,,11.40,12.20,-0.80
PRE-G1g,PRE-O6,POST-G1g-H1,POST-O6,,11.64,11.90,-0.26
PRE-G1h,PRE-O6,POST-G1h-H1,POST-O6,,11.12,12.10,-0.98
PRE-G1i,PRE-O6,POST-G1i-H1,POST-O6,,12.38,12.60,-0.22
PRE-G1j,PRE-O6,POST-G1j-H1,POST-O6,,14.02,15.20,-1.18
